cycle,t,drain_s,failures,ferry_cri_up,ferry_cri_fds,ferry_cri_rss_mib,ferry_cri_threads,ferry_streamer_up,ferry_streamer_fds,ferry_streamer_rss_mib,ferry_streamer_threads,ferry_proxyd_up,ferry_proxyd_fds,ferry_proxyd_rss_mib,ferry_proxyd_threads,ferry_proxy_up,ferry_proxy_fds,ferry_proxy_rss_mib,ferry_proxy_threads,ferry_netpol_up,ferry_netpol_fds,ferry_netpol_rss_mib,ferry_netpol_threads,ferry_storage_up,ferry_storage_fds,ferry_storage_rss_mib,ferry_storage_threads,kubelet_up,kubelet_fds,kubelet_rss_mib,kubelet_threads,etcd_up,etcd_fds,etcd_rss_mib,etcd_threads,kube_apiserver_up,kube_apiserver_fds,kube_apiserver_rss_mib,kube_apiserver_threads,kube_controller_manager_up,kube_controller_manager_fds,kube_controller_manager_rss_mib,kube_controller_manager_threads,kube_scheduler_up,kube_scheduler_fds,kube_scheduler_rss_mib,kube_scheduler_threads,vms,run_files,run_sockets,run_dirs,run_mib,run_logs_mib,state_mib,etcd_db_mib,if_bridge,if_vmenet,if_total,tcp_listen,tcp_established,tcp_close_wait,udp,unix_socks,api_up,k8s_pods,k8s_pods_all,k8s_endpoints,k8s_events,host_used_mib
77,1790308098.49,3.4,0,1,61,421,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,232,23,1,117,463,28,1,35,132,24,1,16,69,22,1,180,2,41,374,34,508,112,6,12,39,4,7,0,1,30,1,0,1,0,43619,65965
78,1790308141.50,3.4,0,1,61,422,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,232,23,1,117,463,28,1,35,132,24,1,16,69,22,1,295,2,161,671,34,508,112,6,12,39,4,7,0,1,30,1,0,1,0,43919,66255
79,1790308184.29,3.5,0,1,61,423,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,236,23,1,117,463,28,1,35,132,24,1,16,69,22,1,262,2,161,671,34,508,112,6,12,39,4,7,0,1,30,1,0,1,0,44219,65996
80,1790308230.58,3.4,0,1,61,425,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,236,23,1,117,464,28,1,35,132,24,1,16,69,22,1,253,2,121,573,35,508,112,6,12,39,4,7,0,1,30,1,0,1,0,44518,65944
81,1790308264.57,3.4,0,1,61,427,47,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,236,23,1,117,464,28,1,35,132,24,1,16,69,22,1,374,2,241,870,35,508,112,6,12,39,4,7,0,1,30,1,0,1,0,23880,66653
82,1790308316.30,3.3,0,1,61,428,44,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,241,23,1,117,464,28,1,35,132,24,1,16,69,22,1,301,2,161,673,36,508,112,6,12,39,4,7,0,1,30,1,0,1,0,23669,66257
83,1790308395.69,3.5,0,1,61,429,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,241,23,1,117,464,28,1,35,132,24,1,16,69,22,1,202,2,161,544,36,508,112,6,12,39,4,7,0,1,30,1,0,1,0,23583,66026
84,1790308430.45,3.4,0,1,61,430,47,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,82,241,23,1,117,464,28,1,35,132,24,1,16,69,22,1,289,2,161,674,37,508,112,6,12,39,4,7,0,1,30,1,0,1,0,23823,65823
85,1790308464.89,3.3,0,1,61,432,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,83,242,23,1,117,464,28,1,35,132,24,1,16,69,22,1,258,2,121,575,37,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23705,66026
86,1790308498.99,3.5,0,1,61,434,48,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,83,245,23,1,117,464,28,1,35,132,24,1,16,69,22,1,374,2,241,872,37,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23885,66289
87,1790308534.16,3.4,0,1,61,435,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,83,246,23,1,117,464,28,1,35,132,24,1,16,69,22,1,318,2,161,675,38,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23733,65880
88,1790308589.73,3.4,0,1,61,436,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,121,41,1,83,246,23,1,117,464,28,1,35,132,24,1,16,69,22,1,249,2,119,571,38,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23596,65783
89,1790308627.29,3.4,0,1,61,437,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,122,41,1,83,246,23,1,117,464,28,1,35,132,24,1,16,69,22,1,390,2,239,869,39,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23586,66223
90,1790308664.72,3.3,0,1,61,438,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,122,41,1,83,246,23,1,117,464,28,1,35,132,24,1,16,69,22,1,321,2,161,676,39,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23886,65984
91,1790308734.22,3.3,0,1,61,439,45,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,122,41,1,82,246,23,1,117,464,28,1,35,132,24,1,16,69,22,1,273,2,161,677,40,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23829,66361
92,1790308768.44,3.3,0,1,61,442,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,122,41,1,82,248,23,1,117,464,28,1,35,132,24,1,16,69,22,1,263,2,121,578,40,500,112,6,12,39,4,7,0,1,30,1,0,1,0,23644,65814
93,1790308802.85,3.3,0,1,61,443,46,1,11,45,16,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,132,24,1,16,69,22,1,366,2,241,875,40,516,128,6,12,39,4,7,0,1,30,1,0,1,0,23944,67096
94,1790308837.29,3.4,0,1,61,445,44,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,132,24,1,16,69,22,1,297,2,161,678,41,516,128,6,12,39,4,7,0,1,30,1,0,1,0,23655,66654
95,1790308913.10,3.4,0,1,61,446,45,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,270,2,161,678,41,516,128,6,12,39,4,7,0,1,30,1,0,1,0,23857,66670
96,1790308947.54,3.5,0,1,61,446,46,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,257,2,121,580,42,516,128,6,12,39,4,7,0,1,30,1,0,1,0,23627,66048
97,1790308981.79,3.6,0,1,61,448,47,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,365,2,241,877,42,516,128,6,12,39,4,7,0,1,30,1,0,1,0,23926,65988
98,1790309016.23,3.4,0,1,64,450,46,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,275,2,121,581,43,516,128,6,12,39,4,7,0,1,33,1,0,1,0,23658,65839
99,1790309053.69,3.3,0,1,64,450,45,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,411,2,241,878,43,516,128,6,12,39,4,7,0,1,33,1,0,1,0,23958,65938
100,1790309126.90,3.4,0,1,64,452,45,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,221,2,121,581,43,516,128,6,12,39,4,7,0,1,33,1,0,1,0,23709,66054
101,1790309161.26,3.4,0,1,67,452,44,1,11,45,16,1,12,36,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,122,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,346,2,241,879,44,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23682,66294
102,1790309195.80,3.4,0,1,67,454,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,464,28,1,35,133,24,1,16,69,22,1,286,2,121,582,44,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23981,66220
103,1790309230.43,3.4,0,1,67,456,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,464,28,1,35,133,25,1,16,69,22,1,409,2,241,880,45,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23811,66238
104,1790309310.10,3.4,0,1,67,458,44,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,464,28,1,35,134,25,1,16,69,22,1,222,2,121,583,45,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23601,65686
105,1790309360.41,3.4,0,1,67,459,49,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,464,28,1,35,134,25,1,16,69,22,1,348,2,241,881,46,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23301,65871
106,1790309394.84,3.5,0,1,67,461,49,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,326,2,161,683,46,516,128,6,12,39,4,7,0,1,36,1,0,1,0,23601,66208
107,1790309430.17,3.4,0,1,67,463,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,263,2,121,584,46,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23426,65797
108,1790309464.83,3.5,0,1,67,466,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,369,2,241,882,47,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23646,66533
109,1790309504.26,3.4,0,1,67,468,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,308,2,161,684,47,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23706,66161
110,1790309588.56,3.4,0,1,67,469,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,271,2,161,685,48,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23306,66234
111,1790309622.90,3.5,0,1,67,471,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,276,2,161,685,48,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23125,66052
112,1790309656.86,3.4,0,1,67,471,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,383,2,281,983,49,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23345,66050
113,1790309689.85,3.5,0,1,67,476,48,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,295,2,161,686,49,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23343,65940
114,1790309724.25,3.5,0,1,67,479,44,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,83,252,23,1,117,465,28,1,35,134,25,1,16,69,22,1,177,2,41,389,49,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23582,65952
115,1790309758.04,3.5,0,1,67,480,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,293,2,161,687,50,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23702,66270
116,1790309838.72,3.4,0,1,67,481,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,271,2,161,687,50,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23425,66014
117,1790309873.55,3.4,0,1,67,483,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,291,2,161,688,51,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23605,66437
118,1790309907.80,3.4,0,1,67,485,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,193,2,53,421,51,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23591,65665
119,1790309941.99,3.5,0,1,67,487,44,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,294,2,173,719,52,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23577,65792
120,1790309976.28,3.4,0,1,67,488,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,123,41,1,82,252,23,1,117,465,28,1,35,134,25,1,16,70,22,1,251,2,119,585,52,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23874,65872
121,1790310051.90,3.3,0,1,67,489,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,272,2,161,689,52,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23934,65777
122,1790310087.41,3.4,0,1,67,490,49,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,210,2,57,433,53,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23903,66085
123,1790310124.80,3.4,0,1,67,491,48,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,330,2,177,730,53,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23654,66419
124,1790310159.83,3.5,0,1,67,493,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,274,2,121,592,54,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23954,66485
125,1790310247.15,3.3,0,1,67,494,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,271,2,161,691,54,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23874,66494
126,1790310281.47,3.4,0,1,67,496,48,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,256,2,121,593,55,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23994,65976
127,1790310315.73,3.5,0,1,67,497,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,364,2,241,890,55,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23715,66000
128,1790310350.19,3.4,0,1,67,499,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,310,2,161,692,55,499,128,6,12,39,4,7,0,1,36,1,0,1,0,24015,65988
129,1790310424.89,3.4,0,1,67,501,49,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,272,2,161,693,56,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23924,66777
130,1790310463.54,3.5,0,1,67,502,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,271,2,119,589,56,561,128,6,12,39,4,7,0,1,36,1,0,1,0,23873,66077
131,1790310499.05,3.4,0,1,67,503,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,391,2,239,887,57,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23993,65909
132,1790310533.87,3.5,0,1,67,505,48,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,310,2,161,694,57,499,128,6,12,39,4,7,0,1,36,1,0,1,0,24193,66480
133,1790310607.02,3.5,0,1,67,505,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,272,2,161,695,58,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23909,66061
134,1790310643.01,3.4,0,1,67,507,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,271,2,119,591,58,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23945,65741
135,1790310677.77,3.3,0,1,67,508,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,377,2,237,883,58,499,128,6,12,39,4,7,0,1,36,1,0,1,0,24241,65776
136,1790310714.00,3.5,0,1,67,511,50,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,309,2,161,696,59,499,128,6,12,39,4,7,0,1,36,1,0,1,0,24176,66634
137,1790310803.63,3.3,0,1,67,513,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,276,2,161,696,59,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23956,65880
138,1790310837.95,3.3,0,1,67,515,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,278,2,157,687,60,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23655,66103
139,1790310872.54,3.5,0,1,67,517,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,175,2,41,400,60,499,128,6,12,39,4,7,0,1,36,1,0,1,0,23953,66314
140,1790310907.29,3.5,0,1,70,519,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,465,28,1,35,135,25,1,16,70,22,1,301,2,161,698,61,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23904,67546
141,1790310952.50,3.4,0,1,70,519,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,273,2,161,698,61,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23796,66723
142,1790311003.08,3.4,0,1,70,521,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,253,2,119,594,61,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24012,66456
143,1790311037.57,3.4,0,1,70,522,51,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,124,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,379,2,239,892,62,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23925,66210
144,1790311072.44,3.4,0,1,70,524,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,125,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,289,2,161,699,62,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24224,66820
145,1790311153.81,3.4,0,1,70,525,50,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,271,2,159,695,63,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23941,66199
146,1790311187.94,3.4,0,1,70,526,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,274,2,121,601,63,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24241,66028
147,1790311221.70,3.5,0,1,70,528,44,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,380,2,241,899,64,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23992,66086
148,1790311257.05,3.4,0,1,70,530,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,311,2,161,701,64,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24292,66255
149,1790311348.42,3.3,0,1,70,531,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,272,2,161,701,64,499,128,6,12,39,4,7,0,1,39,1,0,1,0,23863,66037
150,1790311383.51,3.4,0,1,70,534,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,292,2,161,717,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24163,66673
151,1790311419.40,3.4,0,1,70,537,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,203,2,57,470,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24012,66098
152,1790311454.03,3.5,0,1,70,538,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,309,2,177,766,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24003,65944
153,1790311489.47,3.4,0,1,70,539,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,83,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,256,2,121,618,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24193,66063
154,1790311523.88,3.4,0,1,70,540,44,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,378,2,241,915,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24192,66448
155,1790311566.92,3.4,0,1,70,543,50,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,309,2,161,717,80,499,128,6,12,39,4,7,0,1,39,1,0,1,0,24462,66583
156,1790311635.51,3.3,0,1,73,545,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,275,2,161,717,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24422,66133
157,1790311669.94,3.4,0,1,73,546,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,262,2,119,613,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24302,65983
158,1790311709.20,3.4,0,1,73,548,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,378,2,239,910,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24492,65990
159,1790311744.88,3.4,0,1,73,550,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,466,28,1,35,135,25,1,16,70,22,1,323,2,161,717,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24283,66546
160,1790311784.92,3.4,0,1,73,552,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,273,2,121,618,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24583,65971
161,1790311852.67,3.4,0,1,73,553,47,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,250,2,119,613,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24499,66642
162,1790311887.07,3.4,0,1,73,555,46,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,383,2,239,910,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24312,66063
163,1790311923.16,3.4,0,1,73,558,49,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,314,2,161,717,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24301,66648
164,1790311968.39,3.4,0,1,73,559,48,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,252,2,121,618,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24521,66422
165,1790312003.34,3.5,0,1,73,560,45,1,11,45,16,1,12,37,18,1,11,39,19,1,14,38,19,1,10,30,12,1,35,126,41,1,82,252,23,1,117,467,28,1,35,135,25,1,16,70,22,1,380,2,241,915,80,499,128,6,12,39,4,7,0,1,42,1,0,1,0,24625,66185
