cycle,t,drain_s,failures,ferry_cri_up,ferry_cri_fds,ferry_cri_rss_mib,ferry_cri_threads,ferry_streamer_up,ferry_streamer_fds,ferry_streamer_rss_mib,ferry_streamer_threads,ferry_proxyd_up,ferry_proxyd_fds,ferry_proxyd_rss_mib,ferry_proxyd_threads,ferry_proxy_up,ferry_proxy_fds,ferry_proxy_rss_mib,ferry_proxy_threads,ferry_netpol_up,ferry_netpol_fds,ferry_netpol_rss_mib,ferry_netpol_threads,ferry_storage_up,ferry_storage_fds,ferry_storage_rss_mib,ferry_storage_threads,kubelet_up,kubelet_fds,kubelet_rss_mib,kubelet_threads,etcd_up,etcd_fds,etcd_rss_mib,etcd_threads,kube_apiserver_up,kube_apiserver_fds,kube_apiserver_rss_mib,kube_apiserver_threads,kube_controller_manager_up,kube_controller_manager_fds,kube_controller_manager_rss_mib,kube_controller_manager_threads,kube_scheduler_up,kube_scheduler_fds,kube_scheduler_rss_mib,kube_scheduler_threads,vms,run_files,run_sockets,run_dirs,run_mib,run_logs_mib,state_mib,etcd_db_mib,if_bridge,if_vmenet,if_total,tcp_listen,tcp_established,tcp_close_wait,udp,unix_socks,api_up,k8s_pods,k8s_pods_all,k8s_endpoints,k8s_events,host_used_mib
17,1790305335.00,3.4,0,1,61,318,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,110,41,1,87,199,22,1,119,459,28,1,35,127,24,1,16,67,22,1,265,2,121,546,8,551,96,6,12,39,4,7,0,1,30,1,0,1,0,25667,66039
18,1790305370.49,3.4,0,1,61,319,48,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,112,41,1,87,200,22,1,119,459,28,1,35,127,24,1,16,67,22,1,370,2,239,838,8,551,96,6,12,39,4,7,0,1,30,1,0,1,0,25963,65967
19,1790305407.20,3.3,0,1,61,321,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,112,41,1,87,202,22,1,119,459,28,1,35,127,24,1,16,67,22,1,298,2,157,636,9,551,96,6,12,39,4,7,0,1,30,1,0,1,0,26255,66073
20,1790305442.85,3.5,0,1,61,322,48,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,113,41,1,86,203,22,1,119,460,28,1,35,127,24,1,16,67,22,1,177,2,41,349,9,551,96,6,12,39,4,7,0,1,30,1,0,1,0,26555,66719
21,1790305484.63,3.3,0,1,61,322,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,113,41,1,86,205,22,1,119,460,28,1,35,127,24,1,16,67,22,1,308,2,161,646,9,551,96,6,12,39,4,7,0,1,30,1,0,1,0,26854,66025
22,1790305544.77,3.5,0,1,61,323,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,113,41,1,86,206,22,1,119,460,28,1,35,127,24,1,16,67,22,1,269,2,159,642,10,551,96,6,12,39,4,7,0,1,30,1,0,1,0,27151,65862
23,1790305581.25,3.5,0,1,61,325,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,113,41,1,86,206,22,1,119,460,28,1,35,128,24,1,16,67,22,1,290,2,161,647,10,551,96,6,12,39,4,7,0,1,30,1,0,1,0,27451,65814
24,1790305617.49,3.5,0,1,61,331,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,113,41,1,86,207,22,1,119,460,28,1,35,128,24,1,16,67,22,1,402,2,281,945,11,551,96,6,12,39,4,7,0,1,30,1,0,1,0,27751,66376
25,1790305653.83,3.4,0,1,61,336,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,115,41,1,86,207,22,1,119,460,28,1,35,128,24,1,16,68,22,1,298,2,161,648,11,551,96,6,12,39,4,7,0,1,30,1,0,1,0,28050,66012
26,1790305690.04,3.4,0,1,61,339,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,115,41,1,86,207,22,1,119,460,28,1,35,128,24,1,16,68,22,1,245,2,121,550,12,551,96,6,12,39,4,7,0,1,30,1,0,1,0,28350,66203
27,1790305727.30,3.4,0,1,61,340,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,115,41,1,86,208,22,1,119,460,28,1,35,128,24,1,16,68,22,1,384,2,241,847,12,551,96,6,12,39,4,7,0,1,30,1,0,1,0,28650,66036
28,1790305763.73,3.5,0,1,61,342,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,115,41,1,86,209,22,1,119,460,28,1,35,128,24,1,16,68,22,1,314,2,161,649,12,551,96,6,12,39,4,7,0,1,30,1,0,1,0,28950,66145
29,1790305801.83,3.3,0,1,61,345,48,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,210,22,1,119,460,28,1,35,128,24,1,16,68,22,1,428,2,279,942,13,551,96,6,12,39,4,7,0,1,30,1,0,1,0,29245,65952
30,1790305869.24,3.5,0,1,61,346,49,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,212,22,1,119,460,28,1,35,128,24,1,16,68,22,1,162,2,61,402,13,551,96,6,12,39,4,7,0,1,30,1,0,1,0,29545,66195
31,1790305907.28,3.4,0,1,61,348,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,212,22,1,119,461,28,1,35,128,24,1,16,68,22,1,304,2,181,701,14,551,96,6,12,39,4,7,0,1,30,1,0,1,0,29845,66107
32,1790305944.05,3.5,0,1,61,349,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,213,22,1,119,461,28,1,35,128,24,1,16,68,22,1,287,2,161,651,14,551,96,6,12,39,4,7,0,1,30,1,0,1,0,30145,66160
33,1790305981.92,3.4,0,1,61,350,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,213,22,1,119,461,28,1,35,128,24,1,16,68,22,1,407,2,281,949,15,551,96,6,12,39,4,7,0,1,30,1,0,1,0,30445,66196
34,1790306018.92,3.5,0,1,61,356,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,214,22,1,119,461,28,1,35,129,24,1,16,68,22,1,310,2,161,652,15,551,96,6,12,39,4,7,0,1,30,1,0,1,0,30745,66037
35,1790306073.62,3.4,0,1,61,358,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,214,22,1,119,461,28,1,35,129,24,1,16,68,22,1,271,2,161,652,15,551,96,6,12,39,4,7,0,1,30,1,0,1,0,31045,65892
36,1790306147.85,3.4,0,1,61,359,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,214,23,1,119,461,28,1,35,129,24,1,16,68,22,1,272,2,161,653,16,551,96,6,12,39,4,7,0,1,30,1,0,1,0,31345,65999
37,1790306186.94,3.4,0,1,61,360,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,214,23,1,119,461,28,1,35,129,24,1,16,68,22,1,289,2,161,653,16,551,96,6,12,39,4,7,0,1,30,1,0,1,0,31645,66146
38,1790306224.49,3.4,0,1,61,363,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,30,12,1,35,117,41,1,86,214,23,1,119,461,28,1,35,129,24,1,16,68,22,1,394,2,281,951,17,551,96,6,12,39,4,7,0,1,30,1,0,1,0,31945,66485
39,1790306262.52,3.4,0,1,61,364,47,1,11,44,15,1,12,36,17,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,87,214,23,1,119,461,28,1,35,129,24,1,16,68,22,1,308,2,161,654,17,613,96,6,12,39,4,7,0,1,30,1,0,1,0,32245,66050
40,1790306301.67,3.4,0,1,61,367,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,87,215,23,1,119,461,28,1,35,129,24,1,16,68,22,1,263,2,121,556,18,492,96,6,12,39,4,7,0,1,30,1,0,1,0,32545,66327
41,1790306407.63,3.4,0,1,61,368,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,83,215,23,1,117,461,28,1,35,130,24,1,16,68,22,1,273,2,161,655,18,492,96,6,12,39,4,7,0,1,30,1,0,1,0,32845,66234
42,1790306446.22,3.5,0,1,61,369,45,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,83,215,23,1,117,461,28,1,35,130,24,1,16,68,22,1,276,2,161,655,18,492,96,6,12,39,4,7,0,1,30,1,0,1,0,33145,66042
43,1790306485.11,3.5,0,1,61,370,46,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,82,216,23,1,117,462,28,1,35,130,24,1,16,68,22,1,255,2,121,562,19,492,96,6,12,39,4,7,0,1,30,1,0,1,0,33445,66283
44,1790306525.20,3.4,0,1,61,372,47,1,11,44,15,1,12,36,18,1,11,39,18,1,14,38,19,1,10,30,12,1,35,117,41,1,82,216,23,1,117,462,28,1,35,130,24,1,16,68,22,1,395,2,241,859,19,492,96,6,12,39,4,7,0,1,30,1,0,1,0,33745,66661
